ObjectID,Status,Score,X,Y,USER_Ward,USER_Precinct,USER_Location2,USER_Location3,Match_addr,USER_City,USER_State,USER_ZipCode,USER_Voting_Roo,USER_HP_Entrance
1,M,99.67,-71.034890921337,42.3655716666792,1,1,SAMUEL ADAMS ELEMENTARY SCHOOL ,165 WEBSTER STREET,"165 Webster Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN AUDITORIUM,VOTERS ENTER FROM LEFT OF MAIN ENTRANCE
2,M,99.64,-71.0375288739044,42.3728967375927,1,4,PARIS STREET COMMUNITY CENTER ,112 PARIS STREET,"112 Paris Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,
3,M,100,-71.0401796507836,42.368670204826,1,3,BHA HERITAGE APARTMENTS ,209 SUMNER STREET,"209 Sumner Street, #3, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN COMMUNITY ROOM,
4,M,99.67,-71.0342212072733,42.3692566865912,1,2,DONALD MCKAY SCHOOL ,122 COTTAGE STREET,"122 Cottage Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN MUSIC ROOM,VOTER ENTRANCE MCKAY PLACE
5,M,99.64,-71.0375288739044,42.3728967375927,1,5,PARIS STREET COMMUNITY CENTER ,112 PARIS STREET,"112 Paris Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,
6,M,99.63,-71.0349220181978,42.3809661215083,1,6,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET
7,M,99.63,-71.0349220181978,42.3809661215083,1,7,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET
8,M,99.63,-71.0349220181978,42.3809661215083,1,8,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET
9,M,99.63,-71.0349220181978,42.3809661215083,1,9,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET
10,M,99.33,-71.004168480171,42.3885520372486,1,13,CURTIS GUILD ELEMENTARY SCHOOL ,195 LEYDEN STREET,"195 Leyden Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE 195 LEYDEN STREET TO THE FAR RIGHT OF BUILDING
11,M,99.29,-71.0349220181978,42.3809661215083,1,10,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET
12,M,99.38,-71.0046611684396,42.3840673418642,1,12,ORIENT HEIGHTS YACHT CLUB ,61 BAYSWATER STREET,"61 Bayswater Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN FUNCTION ROOM,
13,M,99.29,-71.020132904416,42.3838348697796,1,11,CHEVERUS SCHOOL APARTMENTS ,10 MOORE STREET,"10 Moore Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN LOBBY,VOTER ENTRANCE THROUGH PARKING LOT FROM CHAUCER STREET TO THE LEFT OF THE MAIN ENTRANCE
14,M,99.26,-71.0094592212743,42.3926647437702,1,14,OVERLOOK TERRACE ,40 VALLAR ROAD,"40 Vallar Road, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN COMMUNITY ROOM,
15,M,99.43,-71.0451308409894,42.3191000485416,1,15,CORCORAN MULLINS JENNISON COMMUNITY BUILDING , 270 MOUNT VERNON STREET,"270 Mount Vernon Street, Dorchester, Massachusetts, 02125",BOSTON,MA,02125,VOTE IN PORTLAND HALL 2ND FLOOR,
16,M,99.62,-71.064296146419,42.3767013672631,2,1,CHARLESTOWN BOYS & GIRLS CLUB ,60 HIGH STREET,"60 High Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,
17,M,99.62,-71.064296146419,42.3767013672631,2,3,CHARLESTOWN BOYS & GIRLS CLUB ,60 HIGH STREET,"60 High Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,
18,M,99.69,-71.0575474570773,42.376632635657,2,2,HARVARD/KENT SCHOOL ,50 BUNKER HILL STREET,"50 Bunker Hill Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,
19,M,99.64,-71.0672318241872,42.3790890362016,2,5,CLARENCE R EDWARDS MIDDLE SCHOOL ,28 WALKER STREET,"28 Walker Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,VOTER ENTRANCE REAR SCHOOL YARD FROM EDEN STREET
20,M,99.64,-71.0672318241872,42.3790890362016,2,6,CLARENCE R EDWARDS MIDDLE SCHOOL ,28 WALKER STREET,"28 Walker Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,VOTER ENTRANCE REAR SCHOOL YARD FROM EDEN STREET
21,M,99.69,-71.0575474570773,42.376632635657,2,4,HARVARD/KENT SCHOOL ,50 BUNKER HILL STREET,"50 Bunker Hill Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,
22,M,99.63,-71.0699196490785,42.3797828063275,2,7,GOLDEN AGE SENIOR CENTER ,382 MAIN STREET,"382 Main Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN LUNCH ROOM,HP ENTRANCE REAR OF BUILDING
23,M,99.68,-71.0549211553554,42.3641173645687,3,3,NORTH END LIBRARY ,25 PARMENTER STREET,"25 Parmenter Street, Boston, Massachusetts, 02113",BOSTON,MA,02113,VOTE IN COMMUNITY ROOM,
24,M,99.69,-71.0575474570773,42.376632635657,2,8,HARVARD/KENT SCHOOL ,50 BUNKER HILL STREET,"50 Bunker Hill Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,
25,M,99.68,-71.0574902086786,42.3649060178385,3,4,CASA MARIA APARTMENTS ,130 ENDICOTT STREET,"130 Endicott Street, Boston, Massachusetts, 02113",BOSTON,MA,02113,VOTE IN RICKY ANZILOTTI COMMUNITY ROOM,VOTERS ENTRANCE RIGHT SIDE OF BUILDING DOOR AT THE CORNER OF ENDICOTT STREET AND THACHER STREET
26,M,97.83,-71.0519812028166,42.36244735418,3,1,CHRISTOPHER COLUMBUS ELDERLY HOUSING,145 COMMERICAL STREET,"145 Commercial Street, Boston, Massachusetts, 02109",BOSTON,MA,02109,VOTE IN COMMUNITY ROOM,
27,M,96.71,-71.0544137987562,42.3652908310133,3,2,NAZZARO COMMUNITY CENTER ,30 NORTH BENNETT STREET,"30 North Bennet Street, Boston, Massachusetts, 02113",BOSTON,MA,02113,VOTE IN COMMUNITY ROOM,HP ENTRANCE LEFT SIDE OF BUILDING
28,M,99.71,-71.0688293681285,42.3415919929034,3,7,CATHEDRAL HIGH SCHOOL GYMNASIUM ,1336 WASHINGTON STREET,"1336 Washington St, Boston, Massachusetts, 02118",BOSTON,MA,02118,,VOTER ENTRANCE RIGHT SIDE OF BUILDING ON UNION PARK STREET
29,M,99.64,-71.0581411472792,42.3601173527353,3,6,CITY HALL ,1 CITY HALL PLAZA,"1 City Hall Plaza, Boston, Massachusetts, 02201",BOSTON,MA,02201,VOTE IN HALLWAY BY CREDIT UNION,VOTER ENTRANCE NORTH SIDE OF BUILDING
30,M,97.41,-71.0656411904216,42.3656373388905,3,5,AMY LOWELL HOUSE,65 MARTHA ROAD,"65 Martha Road, Boston, Massachusetts, 02114",BOSTON,MA,020114,VOTE IN COMMUNITY ROOM,CHARLES RIVER PARK RESIDENTS VOTER ENTRANCE REAR FUNCTION ROOM
31,M,99.76,-71.0653422079353,42.3631263302467,3,9,SAINT JOSEPH PARISH,68 WILLIAM CARDINAL O'CONNELL WAY,"68 William Cardinal O'Connell Way, Boston, Massachusetts, 02114",BOSTON,MA,02114,VOTE IN LOWER HALL,VOTER ENTRANCE LEFT SIDE OF BUILDING
32,M,99.16,-71.0651491727052,42.3487666213646,3,8,WANG YMCA OF CHINATOWN ,8 OAK STREET WEST,"8 Oak Street West, Boston, Massachusetts, 02116",BOSTON,MA,02111,VOTE IN GYMNASIUM,
